232,3,1000,2019-01-25 10:57:24.184931,2,2,1
237,6,-1500,2019-01-25 10:57:38.784434,2,1,1
228,1,500000,2019-01-25 10:56:35.681599,3,2,1
235,5,-1500,2019-01-25 10:57:36.536317,2,1,1
230,2,1000,2019-01-25 10:57:20.446255,2,2,1
233,4,-1500,2019-01-25 10:57:34.305725,2,1,1
236,5,1500,2019-01-25 10:57:36.544783,1,2,2
234,4,1500,2019-01-25 10:57:34.307736,1,2,2
238,6,1500,2019-01-25 10:57:38.786237,1,2,2
231,3,-1000,2019-01-25 10:57:24.182625,1,1,2
229,2,-1000,2019-01-25 10:57:20.443817,1,1,2
226,1,500000,2019-01-25 10:56:29.484901,3,2,2
227,2,-500000,2019-01-25 10:56:35.680049,1,1,3
225,1,-500000,2019-01-25 10:56:29.483120,2,1,3
